depth	numMutations	errorRate
100	4	1.5E-4
1100	31	1.5E-4
2100	70	1.5E-4
3100	112	1.5E-4
4100	130	1.5E-4
5100	170	1.5E-4
6100	185	1.5E-4
7100	204	1.5E-4
8100	221	1.5E-4
9100	286	1.5E-4
10100	294	1.5E-4
11100	313	1.5E-4
12100	330	1.5E-4
13100	366	1.5E-4
14100	402	1.5E-4
15100	395	1.5E-4
16100	375	1.5E-4
17100	442	1.5E-4
18100	443	1.5E-4
19100	430	1.5E-4
20100	434	1.5E-4
21100	488	1.5E-4
22100	487	1.5E-4
23100	495	1.5E-4
24100	512	1.5E-4
25100	516	1.5E-4
26100	527	1.5E-4
27100	559	1.5E-4
28100	581	1.5E-4
29100	550	1.5E-4
30100	565	1.5E-4
31100	566	1.5E-4
32100	606	1.5E-4
33100	598	1.5E-4
34100	590	1.5E-4
35100	602	1.5E-4
36100	623	1.5E-4
37100	624	1.5E-4
38100	644	1.5E-4
39100	647	1.5E-4
40100	644	1.5E-4
41100	641	1.5E-4
42100	654	1.5E-4
43100	672	1.5E-4
44100	655	1.5E-4
45100	665	1.5E-4
46100	668	1.5E-4
47100	672	1.5E-4
48100	683	1.5E-4
49100	678	1.5E-4
50100	690	1.5E-4
51100	673	1.5E-4
52100	683	1.5E-4
53100	694	1.5E-4
54100	704	1.5E-4
55100	706	1.5E-4
56100	703	1.5E-4
57100	704	1.5E-4
58100	703	1.5E-4
59100	703	1.5E-4
60100	714	1.5E-4
61100	710	1.5E-4
62100	711	1.5E-4
63100	707	1.5E-4
64100	715	1.5E-4
65100	714	1.5E-4
66100	721	1.5E-4
67100	722	1.5E-4
68100	723	1.5E-4
69100	719	1.5E-4
70100	718	1.5E-4
71100	720	1.5E-4
72100	724	1.5E-4
73100	735	1.5E-4
74100	728	1.5E-4
75100	735	1.5E-4
76100	735	1.5E-4
77100	735	1.5E-4
78100	735	1.5E-4
79100	731	1.5E-4
80100	743	1.5E-4
81100	741	1.5E-4
82100	737	1.5E-4
83100	739	1.5E-4
84100	742	1.5E-4
85100	734	1.5E-4
86100	743	1.5E-4
87100	745	1.5E-4
88100	737	1.5E-4
89100	740	1.5E-4
90100	741	1.5E-4
91100	741	1.5E-4
92100	747	1.5E-4
93100	745	1.5E-4
94100	746	1.5E-4
95100	742	1.5E-4
96100	743	1.5E-4
97100	743	1.5E-4
98100	746	1.5E-4
99100	745	1.5E-4
100100	741	1.5E-4
101100	743	1.5E-4
102100	745	1.5E-4
103100	746	1.5E-4
104100	747	1.5E-4
105100	745	1.5E-4
106100	747	1.5E-4
107100	744	1.5E-4
108100	746	1.5E-4
109100	742	1.5E-4
110100	750	1.5E-4
111100	747	1.5E-4
112100	747	1.5E-4
113100	748	1.5E-4
114100	745	1.5E-4
115100	748	1.5E-4
116100	742	1.5E-4
117100	749	1.5E-4
118100	748	1.5E-4
119100	744	1.5E-4
120100	750	1.5E-4
121100	746	1.5E-4
122100	749	1.5E-4
123100	747	1.5E-4
124100	750	1.5E-4
125100	745	1.5E-4
126100	748	1.5E-4
127100	750	1.5E-4
128100	749	1.5E-4
129100	749	1.5E-4
130100	749	1.5E-4
131100	748	1.5E-4
132100	749	1.5E-4
133100	750	1.5E-4
134100	750	1.5E-4
135100	750	1.5E-4
136100	747	1.5E-4
137100	749	1.5E-4
138100	748	1.5E-4
139100	749	1.5E-4
140100	749	1.5E-4
141100	750	1.5E-4
142100	750	1.5E-4
143100	750	1.5E-4
144100	749	1.5E-4
145100	749	1.5E-4
146100	749	1.5E-4
147100	749	1.5E-4
148100	750	1.5E-4
149100	750	1.5E-4
150100	750	1.5E-4
151100	749	1.5E-4
152100	749	1.5E-4
153100	749	1.5E-4
154100	750	1.5E-4
155100	748	1.5E-4
156100	749	1.5E-4
157100	750	1.5E-4
158100	749	1.5E-4
159100	749	1.5E-4
160100	750	1.5E-4
161100	750	1.5E-4
162100	750	1.5E-4
163100	750	1.5E-4
164100	748	1.5E-4
165100	748	1.5E-4
166100	750	1.5E-4
167100	750	1.5E-4
168100	749	1.5E-4
169100	750	1.5E-4
170100	750	1.5E-4
171100	750	1.5E-4
172100	750	1.5E-4
173100	750	1.5E-4
174100	750	1.5E-4
175100	749	1.5E-4
176100	750	1.5E-4
177100	750	1.5E-4
178100	750	1.5E-4
179100	749	1.5E-4
180100	750	1.5E-4
181100	750	1.5E-4
182100	750	1.5E-4
183100	750	1.5E-4
184100	750	1.5E-4
185100	749	1.5E-4
