"Run"	"Alias"	"ADEversusAGR"	"SoilversusRhiz"	"Assay.Type"	"AvgSpotLen"	"Bases"	"BioProject"	"BioSample"	"Bytes"	"Center.Name"	"Collection_Date"	"Consent"	"DATASTORE.filetype"	"DATASTORE.provider"	"DATASTORE.region"	"Depth"	"Description"	"ENA_CHECKLIST"	"ENA.FIRST.PUBLIC..run."	"ENA.LAST.UPDATE..run."	"environment_.biome."	"environment_.feature."	"environment_.material."	"Experiment"	"geographic_location_.country_and.or_sea."	"geographic_location_.elevation."	"geographic_location_.latitude."	"geographic_location_.longitude."	"INSDC_center_name"	"INSDC_first_public"	"INSDC_last_update"	"INSDC_status"	"Instrument"	"investigation_type"	"Library.Name"	"LibraryLayout"	"LibrarySelection"	"LibrarySource"	"Organism"	"Platform"	"project_name"	"ReleaseDate"	"Sample.Name"	"sample_name"	"sequencing_method"	"soil_environmental_package"	"SRA_accession"	"SRA.Study"	"title"
"ERR1456790"	"RTP1"	"ADE"	"Rhiz"	"AMPLICON"	600	189402221	"PRJEB14409"	"SAMEA4033207"	144158734	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP1"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527268"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033207"	"ERS1204317"	"Illumina"	"soil"	"ERS1204317"	"ERP016051"	"RTP1"
"ERR1456791"	"RTP2"	"ADE"	"Rhiz"	"AMPLICON"	600	176701193	"PRJEB14409"	"SAMEA4033208"	134510868	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP2"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527269"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033208"	"ERS1204318"	"Illumina"	"soil"	"ERS1204318"	"ERP016051"	"RTP2"
"ERR1456792"	"RTP3"	"ADE"	"Rhiz"	"AMPLICON"	600	189371317	"PRJEB14409"	"SAMEA4033209"	144178327	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP3"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527270"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033209"	"ERS1204319"	"Illumina"	"soil"	"ERS1204319"	"ERP016051"	"RTP3"
"ERR1456793"	"RTP4"	"ADE"	"Rhiz"	"AMPLICON"	601	147479184	"PRJEB14409"	"SAMEA4033210"	113520949	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP4"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527271"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033210"	"ERS1204320"	"Illumina"	"soil"	"ERS1204320"	"ERP016051"	"RTP4"
"ERR1456794"	"RTP5"	"ADE"	"Rhiz"	"AMPLICON"	601	197998209	"PRJEB14409"	"SAMEA4033211"	150293452	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP5"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527272"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033211"	"ERS1204321"	"Illumina"	"soil"	"ERS1204321"	"ERP016051"	"RTP5"
"ERR1456795"	"RTP6"	"ADE"	"Rhiz"	"AMPLICON"	600	195691562	"PRJEB14409"	"SAMEA4033212"	149279595	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP6"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527273"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033212"	"ERS1204322"	"Illumina"	"soil"	"ERS1204322"	"ERP016051"	"RTP6"
"ERR1456796"	"RTP7"	"ADE"	"Rhiz"	"AMPLICON"	600	184757807	"PRJEB14409"	"SAMEA4033213"	141240693	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP7"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527274"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033213"	"ERS1204323"	"Illumina"	"soil"	"ERS1204323"	"ERP016051"	"RTP7"
"ERR1456797"	"RTP8"	"ADE"	"Rhiz"	"AMPLICON"	600	146806130	"PRJEB14409"	"SAMEA4033214"	115328127	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP8"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527275"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033214"	"ERS1204324"	"Illumina"	"soil"	"ERS1204324"	"ERP016051"	"RTP8"
"ERR1456798"	"RTP9"	"ADE"	"Rhiz"	"AMPLICON"	601	173681326	"PRJEB14409"	"SAMEA4033215"	131881737	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP9"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527276"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033215"	"ERS1204325"	"Illumina"	"soil"	"ERS1204325"	"ERP016051"	"RTP9"
"ERR1456799"	"RTP10"	"ADE"	"Rhiz"	"AMPLICON"	600	181544872	"PRJEB14409"	"SAMEA4033216"	137759817	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP10"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527277"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033216"	"ERS1204326"	"Illumina"	"soil"	"ERS1204326"	"ERP016051"	"RTP10"
